document,element,frequency_in_document
C00001,describ,3.0
C00001,warrant,1.0
C00001,urin,2.0
C00001,upon,1.0
C00001,forc,4.0
C00001,ingest,1.0
C00001,fece,1.0
C00001,irrefut,1.0
C00001,medic,1.0
C00001,document,2.0
C00001,five,3.0
C00001,contract,1.0
C00001,chlamydia,1.0
C00001,clear,3.0
C00001,sign,2.0
C00001,defec,1.0
C00001,present,2.0
C00001,serv,3.0
C00001,numer,1.0
C00001,ten,2.0
C00001,depart,1.0
C00001,defens,3.0
C00001,molest,3.0
C00001,infect,1.0
C00001,stay,1.0
C00001,michael,25.0
C00001,aid,1.0
C00001,facil,2.0
C00001,germani,1.0
C00001,occur,1.0
C00001,esteem,1.0
C00001,countri,1.0
C00001,dix,1.0
C00001,leavenworth,1.0
C00001,jackson,1.0
C00001,alon,1.0
C00001,end,1.0
C00001,fifti,1.0
C00001,anim,2.0
C00001,sacrific,2.0
C00001,attorney,1.0
C00001,rudolph,1.0
C00001,giuliani,1.0
C00001,produc,1.0
C00001,determin,1.0
C00001,help,2.0
C00001,panama,1.0
C00001,sent,1.0
C00001,videotap,1.0
C00001,photograph,4.0
C00001,photo,1.0
C00001,album,1.0
C00001,negat,1.0
C00001,cassett,1.0
C00001,tape,1.0
C00001,address,1.0
C00001,book,2.0
C00001,left,2.0
C00001,confisc,1.0
C00001,observ,1.0
C00001,resid,1.0
C00001,appear,4.0
C00001,room,1.0
C00001,may,2.0
C00001,tortur,3.0
C00001,chamber,1.0
C00001,receiv,2.0
C00001,fifteen,1.0
C00001,elementari,2.0
C00001,school,2.0
C00001,air,4.0
C00001,run,4.0
C00001,addit,1.0
C00001,team,1.0
C00001,soundproof,1.0
C00001,identifi,9.0
C00001,armi,8.0
C00001,mutil,1.0
C00001,johnni,3.0
C00001,gosch,6.0
C00001,abduct,5.0
C00001,shop,2.0
C00001,mall,2.0
C00001,park,2.0
C00001,lot,2.0
C00001,daughter,2.0
C00001,west,5.0
C00001,des,1.0
C00001,moin,1.0
C00001,iowa,1.0
C00001,paper,1.0
C00001,rout,2.0
C00001,never,2.0
C00001,seen,3.0
C00001,interview,2.0
C00001,privat,3.0
C00001,ted,1.0
C00001,gunderson,1.0
C00001,former,3.0
C00001,septemb,1.0
C00001,done,1.0
C00001,vagina,1.0
C00001,baphomet,1.0
C00001,barbar,1.0
C00001,kelli,1.0
C00001,nasa,1.0
C00001,technolog,1.0
C00001,presidenti,1.0
C00001,model,1.0
C00001,monarch,1.0
C00001,sex,6.0
C00001,slave,4.0
C00001,mean,2.0
C00001,fbi,3.0
C00001,special,2.0
C00001,pervers,1.0
C00001,kentucki,1.0
C00001,politician,2.0
C00001,stori,3.0
C00001,danger,1.0
C00001,game,1.0
C00001,warn,3.0
C00001,graphic,1.0
C00001,genit,2.0
C00001,carv,1.0
C00001,cater,1.0
C00001,abducte,1.0
C00001,trauma,3.0
C00001,erupt,1.0
C00001,start,4.0
C00001,pick,1.0
C00001,boy,1.0
C00001,brien,3.0
C00001,pedophiliac,1.0
C00001,sever,7.0
C00001,abductor,1.0
C00001,bragg,2.0
C00001,jubil,1.0
C00001,farmhous,1.0
C00001,held,2.0
C00001,deliv,2.0
C00001,fort,6.0
C00001,campbel,1.0
C00001,state,1.0
C00001,pleasur,2.0
C00001,pedophil,14.0
C00001,report,9.0
C00001,draw,1.0
C00001,lure,1.0
C00001,act,6.0
C00001,direct,5.0
C00001,locat,2.0
C00001,bonacci,8.0
